 ,Abs_frame,X_(px),Y_(px),Channel,Slice,Frame,xMin,yMin,xMax,yMax,NArea,IntegrIntCh1,IntegrIntCh2,ColocCh1,ColocCh2,ColocIndCh1,ColocIndCh2,Index
190,10,700.91071,575.32143,2,5,1,694,571,708,582,100,0.00000,2811.20000,0,1,0,190,190
191,10,707.00000,562.00000,2,5,1,700,555,714,569,127,0.00000,15555.00000,0,1,0,191,191
192,10,734.00000,973.00000,2,5,1,727,966,741,980,129,0.00000,2501.00000,0,1,0,192,192
193,10,743.59355,872.29032,2,5,1,737,861,750,883,171,0.00000,310.00000,0,1,0,193,193
194,10,842.00000,897.00000,2,5,1,835,890,849,904,129,0.00000,2196.00000,0,1,0,194,194
195,10,867.00000,467.00000,2,5,1,860,460,874,474,129,0.00000,2074.00000,0,1,0,195,195
196,10,960.00000,909.00000,2,5,1,953,902,967,916,129,0.00000,1952.00000,0,1,0,196,196
197,10,977.20000,645.53333,2,5,1,971,638,983,654,117,0.00000,3825.00000,0,1,0,197,197
198,10,1158.00000,382.00000,2,5,1,1151,375,1165,387,113,0.00000,1098.00000,0,1,0,198,198
199,10,1183.00000,291.00000,2,5,1,1176,284,1190,298,129,0.00000,549.00000,0,1,0,199,199
200,10,1203.00000,424.00000,2,5,1,1195,416,1211,432,157,0.00000,122.00000,0,1,0,200,200
201,10,1211.00000,392.00000,2,5,1,1204,385,1218,399,129,0.00000,15555.00000,0,1,0,201,201
202,11,267.00000,315.00000,1,6,1,256,304,278,326,289,645.00000,0.00000,1,0,202,0,202
203,11,297.00000,217.00000,1,6,1,286,206,308,228,289,1419.00000,0.00000,1,0,203,0,203
204,11,331.00000,550.00000,1,6,1,320,539,341,561,283,2709.00000,0.00000,1,0,204,0,204
205,11,354.00000,572.00000,1,6,1,343,561,365,583,289,19221.00000,0.00000,1,0,205,0,205
206,11,359.00000,87.00000,1,6,1,348,76,370,98,289,3483.00000,0.00000,1,0,206,0,206
207,11,364.00000,607.00000,1,6,1,353,596,375,618,289,4128.00000,0.00000,1,0,207,0,207
208,11,455.00000,519.00000,1,6,1,444,508,466,530,289,4773.00000,0.00000,1,0,208,0,208
209,11,534.00000,479.00000,1,6,1,523,468,545,490,289,6192.00000,0.00000,1,0,209,0,209
210,11,706.00000,691.00000,1,6,1,695,680,717,702,289,7611.00000,0.00000,1,0,210,0,210
211,11,757.00000,549.00000,1,6,1,746,538,768,560,289,15093.00000,0.00000,1,0,211,0,211
212,11,768.00000,651.00000,1,6,1,757,640,779,662,289,9675.00000,0.00000,1,0,212,0,212
213,11,773.00000,475.00000,1,6,1,762,464,784,486,289,8256.00000,0.00000,1,0,213,0,213
