LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,P stuck,P diffusive,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID2639,2639,62,161.820068359375,22.985532449900692,27.256068533488797,0.0,220.0,11,0.25,1,,3506.27868852459,3668.0,1432.0,4647.0,213883.0,830.8949217790727,,,0.10644149896905092,0.8119192691309699
ID2640,2640,8,214.33251953125,23.927562468339243,27.444474537176507,0.0,220.0,11,0.25,1,,4032.7868852459014,4061.0,2164.0,5065.0,246000.0,705.5242049888411,,,0.14856889618074978,1.4787480850222348
ID2641,2641,7,174.4267578125,22.483116440066798,27.57007853963498,0.0,220.0,11,0.25,1,,3342.3934426229507,3173.0,1929.0,5179.0,203886.0,742.2046725508295,,,0.10786870367830721,0.8769423575754284
ID2642,2642,9,120.490478515625,22.106304432691374,28.386504555615062,0.0,220.0,11,0.25,1,,3868.377049180328,3843.0,3144.0,4933.0,235971.0,340.247320045014,,,0.08801164097564114,1.8393765987295336
ID2643,2643,16,143.280517578125,24.80679048554856,28.512108558073535,0.0,220.0,11,0.25,1,,2794.1147540983607,2781.0,1649.0,3557.0,170441.0,475.1486819358286,,,0.11812847989236491,1.2425320827277875
ID2644,2644,15,180.03857421875,22.545918441296035,28.574910559302772,0.0,220.0,11,0.25,1,,3817.2295081967213,3736.0,2911.0,4985.0,232851.0,517.8312271207876,,,0.10500621485132752,1.4010070308982718
ID2645,2645,13,452.62548828125,21.352680417940533,28.763316562990482,0.0,220.0,11,0.25,1,,4766.360655737705,4780.0,2248.0,7352.0,290748.0,1231.7646289339925,,,0.2588034035894963,1.5911138014154456
ID2646,2646,11,119.852783203125,24.42997847817314,28.82611856421972,0.0,220.0,11,0.25,1,,3140.8032786885246,3101.0,2380.0,4968.0,191589.0,486.13766293345793,,,0.07332086397079007,0.8826925572501443
ID2647,2647,14,137.489501953125,21.478284420399007,29.956554586345984,0.0,220.0,11,0.25,1,,3840.1639344262294,3811.0,2833.0,4911.0,234250.0,458.01725514540277,,,0.0916650441825398,1.4080311681382707
ID2648,2648,17,173.873291015625,21.164274414252823,30.521772597409115,0.0,220.0,11,0.25,1,,3236.4754098360654,3304.0,1549.0,4558.0,197425.0,789.3065649998817,,,0.10456412484326257,0.7763335689009881
ID2649,2649,20,177.87890625,22.106304432691374,31.02418860724301,0.0,220.0,11,0.25,1,,4665.737704918033,4687.0,3732.0,6121.0,284610.0,530.4539534411177,,,0.08834935182994656,1.4280311145926154
